"","huc12","crop","crop_name","acres"
"410",170601070505,61,"Fallow/Idle Cropland",992.98921
"411",170601070505,66,"Cherries",0.222394
"412",170601070505,69,"Grapes",0.667182
"413",170601070505,70,"Christmas Trees",0.444788
"414",170601070505,121,"Developed/Open Space",18.681096
"415",170601070505,122,"Developed/Low Intensity",8.450972
"416",170601070505,124,"Developed/High Intensity",0.889576
"417",170601070505,142,"Evergreen Forest",2.22394
"418",170601070505,152,"Shrubland",62.937502
"419",170601070505,176,"Grassland/Pasture",2631.143414
"420",170701020201,131,"Barren",2.22394
"421",170701020201,142,"Evergreen Forest",9474.429188
"422",170701020201,152,"Shrubland",410.31693
"423",170701020201,176,"Grassland/Pasture",535.747146
"424",170701020301,111,"Open Water",0.667182
"425",170701020301,121,"Developed/Open Space",21.572218
"426",170701020301,122,"Developed/Low Intensity",2.001546
"427",170701020301,123,"Developed/Med Intensity",3.558304
"428",170701020301,142,"Evergreen Forest",11586.505006
"429",170701020301,152,"Shrubland",4291.537018
"430",170701020301,176,"Grassland/Pasture",1899.24476
"431",170701020302,1,"Corn",1.11197
"432",170701020302,23,"Spring Wheat",4.892668
"433",170701020302,24,"Winter Wheat",101.634058
"434",170701020302,31,"Canola",14.678004
"435",170701020302,36,"Alfalfa",0.444788
"436",170701020302,37,"Other Hay/Non Alfalfa",4.225486
"437",170701020302,51,"Chick Peas",8.89576
"438",170701020302,59,"Sod/Grass Seed",4.892668
"439",170701020302,61,"Fallow/Idle Cropland",3.558304
"440",170701020302,68,"Apples",2.891122
"441",170701020302,69,"Grapes",4.670274
"442",170701020302,70,"Christmas Trees",0.222394
"443",170701020302,77,"Pears",0.889576
"444",170701020302,111,"Open Water",7.116608
"445",170701020302,121,"Developed/Open Space",56.265682
"446",170701020302,122,"Developed/Low Intensity",57.155258
"447",170701020302,123,"Developed/Med Intensity",1.334364
"448",170701020302,124,"Developed/High Intensity",0.444788
"449",170701020302,142,"Evergreen Forest",10337.762696
"450",170701020302,152,"Shrubland",4162.10371
"451",170701020302,176,"Grassland/Pasture",5838.732076
"452",170701020302,190,"Woody Wetlands",0.444788
"453",170701020302,195,"Herbaceous Wetlands",0.667182
"454",170701020303,23,"Spring Wheat",40.03092
"455",170701020303,24,"Winter Wheat",580.44834
"456",170701020303,28,"Oats",0.667182
"457",170701020303,36,"Alfalfa",2.446334
"458",170701020303,37,"Other Hay/Non Alfalfa",24.240946
"459",170701020303,51,"Chick Peas",48.259498
"460",170701020303,53,"Peas",0.444788
"461",170701020303,59,"Sod/Grass Seed",1.779152
"462",170701020303,61,"Fallow/Idle Cropland",0.222394
"463",170701020303,67,"Peaches",0.444788
"464",170701020303,68,"Apples",1.779152
"465",170701020303,69,"Grapes",1.779152
"466",170701020303,70,"Christmas Trees",0.222394
"467",170701020303,77,"Pears",0.889576
"468",170701020303,111,"Open Water",0.222394
"469",170701020303,121,"Developed/Open Space",68.497352
"470",170701020303,122,"Developed/Low Intensity",19.125884
"471",170701020303,123,"Developed/Med Intensity",0.444788
"472",170701020303,142,"Evergreen Forest",15823.110706
"473",170701020303,143,"Mixed Forest",0.222394
"474",170701020303,152,"Shrubland",5441.091604
"475",170701020303,176,"Grassland/Pasture",4703.855494
"476",170701020303,195,"Herbaceous Wetlands",0.667182
"477",170701020304,21,"Barley",1.11197
"478",170701020304,23,"Spring Wheat",288.222624
"479",170701020304,24,"Winter Wheat",1857.212294
"480",170701020304,36,"Alfalfa",6.67182
"481",170701020304,37,"Other Hay/Non Alfalfa",49.371468
"482",170701020304,51,"Chick Peas",333.146212
"483",170701020304,53,"Peas",424.550146
"484",170701020304,59,"Sod/Grass Seed",0.667182
"485",170701020304,61,"Fallow/Idle Cropland",60.713562
"486",170701020304,67,"Peaches",1.11197
"487",170701020304,68,"Apples",9.785336
"488",170701020304,69,"Grapes",2.446334
"489",170701020304,70,"Christmas Trees",0.444788
"490",170701020304,71,"Other Tree Crops",0.222394
"491",170701020304,77,"Pears",2.001546
"492",170701020304,111,"Open Water",0.444788
"493",170701020304,121,"Developed/Open Space",98.298148
"494",170701020304,122,"Developed/Low Intensity",44.923588
"495",170701020304,123,"Developed/Med Intensity",2.001546
"496",170701020304,124,"Developed/High Intensity",0.222394
"497",170701020304,142,"Evergreen Forest",15665.210966
"498",170701020304,143,"Mixed Forest",6.894214
"499",170701020304,152,"Shrubland",2398.964078
"500",170701020304,176,"Grassland/Pasture",5373.928616
"501",170701020304,190,"Woody Wetlands",6.227032
"502",170701020304,195,"Herbaceous Wetlands",4.892668
"503",170701020304,205,"Triticale",4.44788
"504",170701020305,1,"Corn",2.891122
"505",170701020305,5,"Soybeans",0.444788
"506",170701020305,21,"Barley",24.685734
"507",170701020305,23,"Spring Wheat",36.917404
"508",170701020305,24,"Winter Wheat",300.2319
"509",170701020305,28,"Oats",84.50972
"510",170701020305,31,"Canola",0.444788
"511",170701020305,36,"Alfalfa",2.001546
"512",170701020305,37,"Other Hay/Non Alfalfa",113.865728
"513",170701020305,51,"Chick Peas",119.425578
"514",170701020305,52,"Lentils",2.22394
"515",170701020305,53,"Peas",12.454064
"516",170701020305,59,"Sod/Grass Seed",3.780698
"517",170701020305,61,"Fallow/Idle Cropland",0.667182
"518",170701020305,69,"Grapes",2.22394
"519",170701020305,121,"Developed/Open Space",80.729022
"520",170701020305,122,"Developed/Low Intensity",12.676458
"521",170701020305,124,"Developed/High Intensity",0.667182
"522",170701020305,142,"Evergreen Forest",7079.91299
"523",170701020305,152,"Shrubland",3190.24193
"524",170701020305,176,"Grassland/Pasture",3348.364064
"525",170701020306,5,"Soybeans",0.222394
"526",170701020306,21,"Barley",825.971316
"527",170701020306,23,"Spring Wheat",701.208282
"528",170701020306,24,"Winter Wheat",2141.431826
"529",170701020306,28,"Oats",4.44788
"530",170701020306,31,"Canola",169.909016
"531",170701020306,36,"Alfalfa",8.450972
"532",170701020306,37,"Other Hay/Non Alfalfa",156.120588
"533",170701020306,43,"Potatoes",2.446334
"534",170701020306,51,"Chick Peas",80.284234
"535",170701020306,52,"Lentils",37.584586
"536",170701020306,53,"Peas",98.298148
"537",170701020306,61,"Fallow/Idle Cropland",90.06957
"538",170701020306,68,"Apples",1.556758
"539",170701020306,69,"Grapes",0.222394
"540",170701020306,77,"Pears",0.222394
"541",170701020306,121,"Developed/Open Space",93.183086
"542",170701020306,122,"Developed/Low Intensity",58.712016
"543",170701020306,123,"Developed/Med Intensity",1.334364
"544",170701020306,124,"Developed/High Intensity",0.667182
"545",170701020306,131,"Barren",0.222394
"546",170701020306,142,"Evergreen Forest",2362.713856
"547",170701020306,152,"Shrubland",1221.610242
"548",170701020306,176,"Grassland/Pasture",4004.426364
"549",170701020306,205,"Triticale",0.444788
"550",170701020307,1,"Corn",8.89576
"551",170701020307,5,"Soybeans",0.222394
"552",170701020307,21,"Barley",119.870366
"553",170701020307,23,"Spring Wheat",1615.247622
"554",170701020307,24,"Winter Wheat",4616.89944
"555",170701020307,28,"Oats",96.963784
"556",170701020307,31,"Canola",368.06207
"557",170701020307,35,"Mustard",0.222394
"558",170701020307,36,"Alfalfa",22.2394
"559",170701020307,37,"Other Hay/Non Alfalfa",5.782244
"560",170701020307,43,"Potatoes",5.55985
"561",170701020307,51,"Chick Peas",541.974178
"562",170701020307,52,"Lentils",4.003092
"563",170701020307,53,"Peas",1570.768822
"564",170701020307,59,"Sod/Grass Seed",0.222394
"565",170701020307,61,"Fallow/Idle Cropland",914.928916
"566",170701020307,66,"Cherries",0.222394
"567",170701020307,67,"Peaches",1.779152
"568",170701020307,68,"Apples",7.116608
"569",170701020307,69,"Grapes",4.892668
"570",170701020307,70,"Christmas Trees",0.444788
"571",170701020307,77,"Pears",0.222394
"572",170701020307,121,"Developed/Open Space",188.367718
